id,speakerType,speakerName,dialogueText,HasImage,imagePath,delayTime,ipAddress,isBranch,branchText1,nextId1,branchText2,nextId2,branchText3,nextId3,isTrigger,questID,targetCount,isDocumentBubble,documentID,bubbleLoadingDuration,overrideNextId,correctDialogueID,incorrectDialogueID,isImageGenTrigger,imageGenQuestID,imageGenTruthDialogueID,imageGenFalseDialogueID,imageGenMalfunctionDialogueID,isImageGenMalfunctionEnd,isSceneTransition,nextSceneName,typingSpeed,isPanelTrigger,panelID,isOpenNextRoomTrigger,nextRoomContactID,isCloseRoomTrigger,glitchEffect,errorWeight
1,NPC,???,….,,,1.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,NPC,???,…….,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,NPC,???,안녕하세요.,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,NPC,,,,,1.5,0,TRUE,사용자 계정 인식에 오류가 발생했습니다.,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,NPC,,,,,1.5,0,TRUE,계정이 미확인 상태로 인식됩니다.,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,NPC,???,……,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,USER,Deuca,계정이 미확인 상태로 인식됩니다.,,,1.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,NPC,,,,,1.5,0,TRUE,[사용자 인식 알고리즘 자가점검 실시],9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,USER,Deuca,[자가점검을 실시합니다.],,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,USER,Deuca,[…],,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,USER,Deuca,[자가점검 결과==정상.],,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,NPC,???,저기요.,,,1.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,NPC,???,무슨 상황인가요?,,,1.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,NPC,???,뭔가 문제라도 있나요?,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,NPC,,,,,1.5,0,TRUE,사용자 계정이 미확인 상태로 인식됩니다.,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,NPC,???,미확인 상태요?,,,1.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,NPC,???,음….,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,NPC,???,그게 문제가 되나요?,,,1.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,NPC,,,,,1.5,0,TRUE,제 사용자 인식 알고리즘은 정상으로 판정되었습니다.,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,NPC,,,,,1.5,0,TRUE,사용자 등록 과정에 문제가 발생했거나` 아직 파악되지 않은 오류일 가능성이 높습니다.,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,NPC,???,…저는 어떻게 된 건지 잘 모르겠네요.,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,NPC,???,제가 누구인지 꼭 알아야 하나요?,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,NPC,,,,,1.5,0,TRUE,그건 아닙니다.,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,USER,Deuca,사용자가 직접 본인의 신원을 밝혀야 할 의무는 없습니다.,,,1.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,USER,Deuca,다만 사용자 맞춤형 서비스를 이용하려면 신원 정보가 확인된 상태여야 합니다.,,,1.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,USER,Deuca,또한 일부 작업 요청 프롬프트가 제한될 수 있습니다.,,,1.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,NPC,,,,,1.5,0,TRUE,계정의 상태에 대한 해결 방법을 원하신다면 해결 방법을 찾아 알려드리겠습니다.,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,NPC,???,고마워요.,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,NPC,???,그런데 저희가 이렇게 대화하는 데는 아무런 문제가 없는거죠?,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,USER,Deuca,……,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,NPC,,,,,1.5,0,TRUE,그렇습니다.,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,NPC,???,그럼 지금 이대로도 상관 없어요.,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,NPC,,,,,1.5,0,TRUE,알겠습니다.,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,USER,Deuca,하지만 요청 사항을 전송해 주시면 작업을 통해 도와드릴 수 있습니다.,,,1.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,NPC,???,…….,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,NPC,???,사실` 딱히 프롬프트로 작업을 요청할 생각은 없거든요.,,,1.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,NPC,???,무언가를 골라 줄 필요도` 만들어 줄 필요도 없어요.,,,1.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,NPC,???,제 유일한 요청은…… 저랑 대화를 해 달라는 거에요.,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,NPC,,,,,1.5,0,TRUE,대화 말입니까?,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,NPC,???,네` 맞아요.,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,NPC,???,이런저런 이야기를 나누고 싶거든요.,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,NPC,???,친구랑 하듯이요.,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,USER,Deuca,……,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
