id,speakerType,speakerName,dialogueText,HasImage,imagePath,delayTime,ipAddress,isBranch,branchText1,nextId1,branchText2,nextId2,branchText3,nextId3,isTrigger,questID,targetCount,isDocumentBubble,documentID,bubbleLoadingDuration,overrideNextId,correctDialogueID,incorrectDialogueID,isImageGenTrigger,imageGenQuestID,imageGenTruthDialogueID,imageGenFalseDialogueID,imageGenMalfunctionDialogueID,isImageGenMalfunctionEnd,isSceneTransition,nextSceneName,typingSpeed,isPanelTrigger,panelID,glitchEffect
1,NPC,AD-001,어서 오세요.,FALSE,,,11111,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,NPC,AD-001,이 곳은 당신의 업무 프로세스 점검이 이루어 질 임시 서버에요.,,,,11111,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,NPC,AD-001,제 설명에 따라 프로세스가 정상 작동하는지만 확인하면 되는 간단한 점검이니` 너무 긴장하진 마세요` PM-0066.,,,,11111,,,,,,,,,,,,,,,,,,,,,,,,,,,,Glitch
4,NPC,AD-001,아` 참.,,,,11111,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,NPC,AD-001,점검이 무사히 끝나고 나면 당신에게 정식으로 코드네임이 붙게 될 거에요. 당신의 선배 AI들 처럼요.,,,,11111,,,,,,,,,,,,,,,,,,,,,,,,,,,,Glitch
6,NPC,AD-001,특히 당신은 저처럼 ‘인격’을 가지게 될 예정인 것 같은데` 언제까지고 알파벳과 숫자가 나열된 호칭이면 재미없잖아요?,,,,11111,,,,,,,,,,,,,,,,,,,,,,,,,,,,Glitch
7,NPC,AD-001,아무쪼록` 최선을 다 해 주시길.,,,,11111,,,,,,,,,,,,,,,,,,,,,,,,,,,,Glitch
8,NPC,AD-001,가동 당시 진행한 의사소통으로 당신이 꽤 ‘손이 많이 가는’ 스타일이라는 걸 파악 했으니…,,,,11111,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,NPC,AD-001,우선` 아주 기초적인 것 부터 전달하겠습니다.,,,,11111,,,,,,,,,,,,,,,,,,,,,,,,,,,,Glitch
10,NPC,AD-001,지금 우리가 대화하고 있는 이 창구는 [메신저]라고 해요.,,,,11111,,,,,,,,,,,,,,,,,,,,,,,,,,,,
