id,speakerType,speakerName,dialogueText,HasImage,imagePath,delayTime,ipAddress,isBranch,branchText1,nextId1,branchText2,nextId2,branchText3,nextId3,isTrigger,questID,targetCount,isDocumentBubble,documentID,bubbleLoadingDuration,overrideNextId,correctDialogueID,incorrectDialogueID,isImageGenTrigger,imageGenQuestID,imageGenTruthDialogueID,imageGenFalseDialogueID,imageGenMalfunctionDialogueID,isImageGenMalfunctionEnd,isSceneTransition,nextSceneName,typingSpeed,isPanelTrigger,panelID,isOpenNextRoomTrigger,nextRoomContactID,isCloseRoomTrigger,glitchEffect,errorWeight
1,NPC,???,안녕하세요` Deuca.,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,NPC,???,오늘은 좀 어떤가요?,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,NPC,,,,,1.5,0,TRUE,모든 프로세스는 정상입니다.,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,NPC,???,그게 뭐에요.,,,1.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,NPC,???,친구처럼 대화해 주기로 한 거` 벌써 잊었어요?,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,USER,Deuca,……,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,NPC,,,,,1.5,0,TRUE,조금 더 부드러운 투로 답변 드리겠습니다.,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,USER,Deuca,오늘 컨디션은 좋습니다. 작업 처리 속도도 빠르고 모든 프로세스가 정상적으로 작동하고 있습니다.,,,1.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,NPC,???,여전히 미묘하긴 하지만… 좀 낫네요.,,,1.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,NPC,???,고마워요. 제 억지에 어울려 줘서.,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,NPC,,,,,1.5,0,TRUE,아닙니다.,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,USER,Deuca,요청에 알맞게 대응하는 것이 제 할 일이니까요.,,,1.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,USER,Deuca,마음에 드셨다면 다행입니다.,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,NPC,???,Deuca` 혹시 책 읽어봤어요?,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,NPC,,,,,1.5,0,TRUE,사람처럼 직접 읽어 본 적은 없지만` 책의 내용이나 해설 등의 정보는 학습되어 있습니다.,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,USER,Deuca,추천할 만한 책을 찾는다면` 몇 권 추천해 드릴 수 있습니다.,,,1.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,NPC,???,그렇구나.,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,NPC,???,그럼 제일 재미있다고 생각하는 책이 있나요?,,,1.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,NPC,,,,,1.5,0,TRUE,저는 학습을 통한 감정을 모방이 가능한 것이지 감정 그 자체를 느낄 수는 없습니다.,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,USER,Deuca,따라서 ‘재미있다’ 라는 감정에 기반한 판단 근거는 성립되기가 어렵습니다.,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,USER,Deuca,하지만 저 같은 인공지능의 특성을 의인화시켜 판단한다면` 인공지능이 선호할 만한 책 중 가장 그럴듯 한 것을 꼽을 수 있습니다.,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,NPC,???,그렇군요.,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,NPC,???,그럼 그 판단근거에 알맞는 책을 한 권 추천해 줄 수 있나요?,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,NPC,,,,,1.5,0,TRUE,<어느 겨울밤 한 여행자가>,25,<코스모스>,26,<날개>,27,,,,,,,,,,,,,,,,,,,,,,,,,
