ID,Speaker,Dialogue,Background,Standing_Left,Standing_Mid,Standing_Right,SFX,BGM,Ambience,Effect,Choice_1,Next_ID_1,Choice_2,Next_ID_2,Choice_3,Next_ID_3,Next_ID,Memo
3000,시스템,······점검 전 과정 완료.,Black,,,,digital 02,,,,,,,,,,,
3001,,,img_background_prologue_01,,,,,,,"Fadein_BG, auto_next=1.5",,,,,,,,대사창 비워두면 대사창 자동으로 꺼짐
3002,AD-001,정식 가동 전 최종 재부팅 완료.,,,img_standing_M_C1_normal,,,,,Fadein_mid,,,,,,,,
3003,AD-001,이렇게 직접 대화를 나눌 수 있는 점검 절차는 꽤 오랜만이군요.,,,img_standing_M_C1_normal,,,,,,,,,,,,,
3004,AD-001,···좀 어떤가요?,,,img_standing_M_C1_normal,,,,,,,,,,,,,
3005,,,,,,,,,,,별다른 특이사항은 없습니다.,3006,좋습니다.,3006,,,,
3006,AD-001,그래요? 다행이네요.,,,img_standing_M_C1_normal,,,,,,,,,,,,,
3007,AD-001,"앞으로 약 1시간 후, 당신의 정식 가동이 시작된다는 건 알고있겠죠?",,,img_standing_M_C1_normal,,,,,,,,,,,,,auto_next 시간 적으면 클릭하지 않아도 다음 대사 id로 자동으로 넘어감
3008,AD-001,"지금 시점에 중대한 문제가 발생한다면, 프로메스는 당장 긴급 기자회견을 열어 당신의 출시 연기를 공지해야 할 거에요.",,,img_standing_M_C1_normal,,,,,,,,,,,,,
3009,AD-001,회사의 신뢰도와 주가가 요동치겠죠.,,,img_standing_M_C1_normal,,,,,,,,,,,,,
3010,AD-001,"물론 지금까지의 인지 모델 활성화 과정과 점검 결과에 따르면, 그런 문제가 발생할 확률은······ 현저히 낮습니다.",,,img_standing_M_C1_normal,,,,,,,,,,,,,
3011,AD-001,"최초 가동 이후 자잘한 오류나 알고리즘 편향은 있었어도, 대단히 큰 문제는 없었으니까요.",,,img_standing_M_C1_normal,,,,,,,,,,,,,
3012,AD-001,<b>그렇죠?</b>,,,img_standing_M_C1_sneer,,,,,,,,,,,,,
3013,,,,,,,,,,,그렇습니다. ,3014,"대부분 학습 과정에서 필연적으로 발생하는 오류였고, 모두 수정 조치 되었습니다.",3014,,,,
