postID,title,author,date,likes,dislikes,content,imageName,clueID,imageClueID,collectibleImageID,titleClueID
1,프로메스에서 AI 모델 새로 나온다고 함,,,0,0,성능은 당연히 기존보다 훨씬 좋을거고|PGT나 Prok이랑 어떻게 달라질지가 궁금하네. 어디서는 모방 인격이나 감정이 탑재될거라는 말도 있던데,,,,,
2,근데 프로메스 마스코트는 이름이 왜 AD임?,ㅇㅇ,,0,0,캐릭터는 이뻐서 맘에 드는데 보통 좀 예쁜 이름으로 짓지 않나? 프순이 이런거 어떰,,,,,
3,오늘 점심 먹은거,라면조아,,1,0,맛있겠지,img_commu_02,,,,
4,프로메스 면접 없애는 거 실화냐 ,ㅇㅇ,,0,0,이번 공채부터 대면면접 없고 72시간 직무 시뮬로 끝이라는데 사람 얼굴 한 번 안보고 뽑는거 맞음?|자료 여는 순서랑 질문 수정한 것도 본다던데 면접 없앤 게 아니라 면접을 사흘로 늘린 거 아니냐| 그래도 지원은 함,,,,,
5,72시간 시뮬 진짜 밤새야 됨?,오라메딕,,0,0,이번 주 응시임|내 AI는 평소대로 자라고 하는데 남들 밤새서 더 하면 나만 손해보는 거 아니냐?|장시간 작업이 높은 평가를 보장하지 않는다고 하긴 함|믿어도 되는건가 이거?,,,,,
6,오늘 한 일 feat.AI,IRIS,,0,0,AI 한테 날씨 물어보고 옷 뭐입을지 추천받기|AI 한테 주식 추천해달라고 하기|AI 한테 친구랑 밥 뭐먹을지 물어보기|과제 AI한테 다 시키고 게임하기|게임 공략법도 AI한테 물어보기|AI 안쓰는 일이 없는데 도대체 AI 없던 시절에는 어케 살았던거임? ,,,,,
7,추측) AD-001은 정확히 뭘 하는 AI일까?,ㅇㅇ,,21,3,"AD가 약간 홍보영상이나 광고같은데만 나와서 프로메스에서 만든 버츄얼 아이돌 같은거 아니냐고 생각하는 사람들이 많은데, 실제로 틀린 말은 아님. 굿즈도 팔고 있고 마케팅 방식이 유사함.|그럼 그냥 마스코트 캐릭터냐? 할 수 있는데 그건 또 아님. 발표 당시에 AI가 AI를 관리하는 차세대 운영체제라고 설명했는데, 얼마 전에 말 많았던 프로메스 대량해고 사건 때 해고된 사람들 보면 거의 다 직급 낮은 프로그래머였음. 그리고 AD-001 발표 이전 이후 프로메스 구인공고 비교해보면 프로그래머 직정이 거의 없어진 걸 알 수 있음.|[CLUE:T_Q_2_D_6]결론적으로 프로메스 내부의 데이터베이스, AI 유지보수, 관련 웹의 백엔드 관리 등 사실상 프로그래머들이 하는 일 대부분을 실제로 AD-001이 대체하는 중일 수도 있음. 물론 AD-001이라는 캐릭터랑 실제 사용되는 AI는 다를 수는 있지만, 해고된 인력을 충당할 수 있을 만한 기능을 가진 시스템이 있는 것 자체는 맞는듯.",,,,,
8,AI 후불제라는거 진짜 신기하네,크리스탈,,5,1,토큰 상관 없이 AI 무한으로 쓸 수 있음!!|오늘도 심심해서 AI한테 하루종일 헛소리 했는데 재밌더라,,,,,
9,Prok 로컬모드 써도 되는거 맞냐?,ㅇㅇ,,0,1,이거 사실상 내 폰이나 컴퓨터에 있는 개인정보 싹 다 들여다보고 있는거 아님?,,,,,
10,밀레니아 노블 사가 게임 하는 사람 있음?,사모,,0,0,하는 사람 있으면 친구추가좀 나 8서버임,,,,,
11,오늘 바깥 날씨 진짜 좋다,레이니즘,,10,0,라고 하자마자 비와서 다 젖었다.|하... AI 시대에도 날씨 예측은 왜 맨날 틀리는거냐,,,,,
12,님들 Myul이라는 가수 앎?,overlay,,0,0,사람들 잘 모르는 가수같은데 노래 진짜 좋음 한번 들어봐봐. 기타리프가 예술임,,,,,
13,어제 이상한 꿈 꿨는데 뭐냐,ㅇㅇ,,0,0,AI한테 국밥집 추천해달라고 해서 추천해준대로 갔는데 국밥집이 아니라 냉면집이었음.| 근데 국밥도 팔길래 들어가서 주문하고 국밥 한 입 먹었는데 국물이 차가워서 주인한테 물어보니까 냉면집이라 냉국밥으로 만들었다고 함.|근데 깍두기는 또 뜨거워서 혀 다 데임.||이거 뭔 꿈이냐?,,,,,
