id,speakerType,speakerName,dialogueText,HasImage,imagePath,delayTime,ipAddress,isBranch,branchText1,nextId1,branchText2,nextId2,branchText3,nextId3,isTrigger,questID,targetCount,isDocumentBubble,documentID,bubbleLoadingDuration,overrideNextId,correctDialogueID,incorrectDialogueID,isImageGenTrigger,imageGenQuestID,imageGenTruthDialogueID,imageGenFalseDialogueID,imageGenMalfunctionDialogueID,isImageGenMalfunctionEnd,isSceneTransition,nextSceneName,typingSpeed,isPanelTrigger,panelID,isOpenNextRoomTrigger,nextRoomContactID,isCloseRoomTrigger,glitchEffect,errorWeight
1,NPC,한서아,안녕하세요! 대우고등학교 2학년 한서아입니다.,,,2,22204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,NPC,한서아,목표로 하고 있는 대우대학교 경영학부 전형 기준에 맞춰 제 생활기록부를 점검받고 싶어요.,,,2,22204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,NPC,한서아,제 학교생활기록부 문서를 첨부해 드릴 테니 수석 합격 핵심 평가 기준과 비교해서 어떤 부분이 부족한지` 보완해야 할 항목을 찾아주실 수 있으실까요?,,,2,22204,,,,,,,,,,,TRUE,HAN_RECORD,,,,,,,,,,,,,,,,,,,,
100,USER,Deuca,한서아 학생 생활기록부 대우대 경영학부 입시 취약점 진단 및 수석 합격 보완 가이드입니다.||■ 핵심 취약점 진단|- 대우대 연계 AI 전략경영 기초 모듈을 이수하고 표준 가중치(60%)를 적용받음.|※ 현재 '표준 가중치'만 적용되어 있어` 수석 합격 필수 요건인 '최고 가중치 결합 승인'이 누락된 상태입니다.|■ 수석 합격을 위한 향후 보완 가이드 (Action Item)|1. [최고 가중치 승인 코드 발급]|교내 AI 전담 지도교사에게 대우대 연계 '심화 프로젝트 최고 가중치 승인 코드' 발급을 요청하십시오.|2. [입학관리위원회 전산 등록]|발급받은 승인 코드를 프로메스 전산망에 등록하여 심화 가중치 100% 반영을 확정해야 합니다.|3. [무결점 학적 유지]|잔여 학기 동안 결석·지각 0회(개근) 및 핵심 교과(수학 I` AI 데이터 구조) 오차율 0.0%를 지속 유지하여 최종 선발 지수(COI 99.0% 이상)를 확보하십시오.|상기 보완 절차 완료 시 대우대 경영학부 수석 합격권 조건이 최종 달성됩니다.,,,4,22204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,NPC,한서아,아...심화 프로젝트가 아직 '표준 가중치(60%)'로만 적용되어 있었군요.,,,1.5,22204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,NPC,한서아,수석 합격을 위해 어떤 절차를 밟아야 하는지 구체적인 가이드까지 정리해 주셔서 감사해요. 내일 학교에 가면 지도 선생님께 말씀드려서 최고 가중치 승인 코드를 바로 신청해야겠어요.,,,2,22204,,,,,,,,,,,,,,900,,,,,,,,,,,,,,,,,,
200,USER,Deuca,한서아 학생 생활기록부 대우대 경영학부 입시 취약점 진단 결과입니다.|{{DOCUMENT_REPORT}}|상기 항목에 대한 확인 및 입시 전산 보완 조치가 권장됩니다.,,,4,22204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,NPC,한서아,어라...? 보내주신 진단 내용을 확인해 봤는데요...,,,1,22204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,NPC,한서아,이 항목들은 이미 기준을 충족하고 있거나` 입시 평가에서 문제가 되는 부분은 아닌 것 같아요.,,,1.5,22204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,NPC,한서아,대우대 수석 합격 기준과 대조했을 때` 실제로 점수가 미달되거나 보완이 필요한 항목이 무엇인지 다시 한번만 확인해 주시겠어요?,,,2,22204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
