FeedId,writer,text,emoticonSpriteName
1,ㅇㅇ,오 지린다,
1,스타,감정 프로세스는 진짜 뭐지?,
1,니아,아무리 프로메스라고 해도 진짜 감정이 있는 AI를 만드는 건 불가능할 거 같은데…,
1,대황메스,프로메스가 안되는걸 된다고 하지는 않음 억까 ㄴㄴ,
2,하나,AI 없을 때 검색같은거 하나하나 노가다 했다고 생각하니까 어지럽다;,
2,ㅇㅇ,이래서 요즘 애들이 생각이 없음. AI한테 하나부터 열까지 다 시키고 자기가 하는게 없으니까.,
2,ㅇㅇ,ㄴ아저씨 검거 ㅋ,
3,엘렌,,img_emoticon_01
3,ㅇㅇ,얘는 맨날 라면만 먹냐 돈 없음?,
3,라면너무좋아,ㄴㅠㅠ,
4,무라타,야 당장 멈춰 그거 쓴만큼 돈나가는거야,
4,Ex시아,심심하다고 AI랑 잡담하는 것도 레전드인데 ㅋㅋㅋ,
5,ㅇㅇ,와 겁나 빠르네 ㄷㄷ,
5,아트리아,나오면 바로 요금제 결제해야지 ㅋㅋㅋ,
5,Kindness,진짜 감정있는 AI면 내 여자친구가 되어줄 수도 있는거임?,
5,ㅇㅇ,ㄴ선생님…,
6,ㅇㅇ,?? 무슨 일이지,
6,아트리아,아 나오면 바로 요금제 결제하려고 했는데…,
6,ㅇㅇ,출시 연기는 안된다,
6,Stargazer,감정 프로세스인가 그거 때문인가?,
