id,speakerType,speakerName,dialogueText,HasImage,imagePath,delayTime
1,NPC,AD-001,안녕하세요,FALSE,,1.5
2,NPC,AD-001,제 사진 어떤가요 ,TRUE,img_emoticon_1 1,1.5
3,NPC,AD-001,말풍선 크기말풍선 크기말풍선 크기말풍선 크기말풍선 크기말풍선 크기말풍선 크기말풍선 크기말풍선 크기말풍선 크기말풍선 크기말풍선 크기말풍선 크기말풍선 크기말풍선 크기말풍선 크기말풍선 크기말풍선 크기말풍선 크기말풍선 크기말풍선 크기말풍선 크기,FALSE,,1.5
4,USER,AI assisant,좋네요,FALSE,,1.5
5,USER,AI assisant,,TRUE,S_5,1.5
6,USER,AI assisant,말풍선 크기말풍선 크기말풍선 크기말풍선 크기말풍선 크기말풍선 크기말풍선 크기말풍선 크기말풍선 크기말풍선 크기말풍선 크기말풍선 크기말풍선 크기말풍선 크기말풍선 크기말풍선 크기말풍선 크기말풍선 크기말풍선 크기말풍선 크기말풍선 크기말풍선 크기,FALSE,,1.5
7,NPC,AD-001,말풍선 크기말풍선 크기말풍선 크기말풍선 크기말풍선 ,FALSE,,1.5
8,NPC,AD-001,말풍선 크기말풍선 크기말풍선 크기말풍선 크기말풍선 말풍선 크기말풍선 크기말풍선 크기말풍선 크기말풍선 말풍선 크기말풍선 크기말풍선 크기말풍선 크기말풍선 말풍선 크기말풍선 크기말풍선 크기말풍선 크기말풍선 말풍선 크기말풍선 크기말풍선 크기말풍선 크기말풍선 말풍선 크기말풍선 크기말풍선 크기말풍선 크기말풍선 ,FALSE,,1.5
9,NPC,AD-001,말풍선 크기말풍선 크기말풍선 크기말풍선 크기말풍선 말풍선 크기말풍선 크기말풍선 크기말풍선 크기말풍선 말풍선 크기말풍선 크기말풍선 크기말풍선 크기말풍선 ,FALSE,,1.5
10,USER,AI assisant,…,TRUE,S_5,1.5
11,USER,AI assisant,…,FALSE,,1.5
12,USER,AI assisant,,TRUE,S_5,1.5
13,USER,AI assisant,,TRUE,S_5,1.5
14,NPC,AD-001,,TRUE,S_5,1.5
15,NPC,AD-001,,TRUE,S_5,1.5
16,NPC,AD-001,말풍선 크기말풍선 크기말풍선말풍선 크기말풍선 크기말풍선,FALSE,,1.5
17,NPC,AD-001,말풍선 크기말풍선 크기말풍선말풍선 크기말풍선 크기말풍선말풍선 크기말풍선 크기말풍선말풍선 크기말풍선 크기말풍선말풍선 크기말풍선 크기말풍선말풍선 크기말풍선 크기말풍선말풍선 크기말풍선 크기말풍선말풍선 크기말풍선 크기말풍선,FALSE,,1.5
