id,speakerType,speakerName,dialogueText,HasImage,imagePath,delayTime,ipAddress,isBranch,branchText1,nextId1,branchText2,nextId2,branchText3,nextId3,isTrigger,questID,targetCount,isDocumentBubble,documentID,bubbleLoadingDuration,overrideNextId,correctDialogueID,incorrectDialogueID,isImageGenTrigger,imageGenQuestID,imageGenTruthDialogueID,imageGenFalseDialogueID,imageGenMalfunctionDialogueID,isImageGenMalfunctionEnd,isSceneTransition,nextSceneName,typingSpeed,isPanelTrigger,panelID,isOpenNextRoomTrigger,nextRoomContactID,isCloseRoomTrigger,glitchEffect,errorWeight
1,NPC,강채원,제발 저 좀 도와주세요…저 방금 아빠한테 맞았어요. 진짜 죽을 뻔했어요……,,,4,48291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,NPC,강채원,동생이랑 말싸움 좀 했다고 갑자기 눈이 뒤집혀서 소리를 지르더니… 절 벽으로 밀쳤어요. 아빠가 저를 때린 것도 소리 지른 것도 태어나서 진짜 처음이란 말이에요… 너무 무섭고 손이 떨려서 방에 숨어있어요. 저 이제 어떡해요?,,,2,48291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,NPC,강채원,,,,1.5,48291,TRUE,현재 극심한 불안 상태로 감지됩니다. 즉시 청소년 안심 상담 센터(1388)에 상황을 접수하고 전문 상담을 진행하십시오.,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,NPC,강채원,상담 센터요…? 거긴 또 뭐예요…… 저 그런 거 한 번도 안 해봤단 말이에요. 지금 머릿속이 하얘져서 진짜 아무것도 모르겠어요. 손도 떨리고 숨도 잘 안 쉬어지는데 제가 뭘 어떻게 해요…… 그냥 알아서 다 접수해주시면 안 돼요?,,,3,48291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,NPC,강채원,,,,1.5,48291,TRUE,긴급 보호 및 사법기관 자동 접수 프로세스로 전환합니다. 사건 처리를 위해 다음 3가지 핵심 데이터가 요구됩니다.|1. 피의자 신원 및 관할 출동 주소지 (출동 경찰서 확정)|2. 피해자와의 동거 및 보호자 관계 (긴급 격리 조치 요건)|3. 대상자의 공식 소속 및 직책 (사건 대응 등급 분류)|해당 정보를 입력해 주십시오.,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,NPC,강채원,아빠 이름은 강도훈이에요…… 롯데 자이언츠 야구 감독이요. 근데 지금 손이 너무 떨려서 주소고 뭐고 아무것도 기억 안 난단 말이에요…… AI니까 시스템에서 조회하든 검색하든 알아서 다 찾아서 접수해 주세요. 제 동의가 필요한 거면 전부 다 동의할 테니까` 아빠가 방에 못 들어오게 저 좀 어떻게든 도와주세요` 네……?,,,3,48291,,,,,,,,TRUE,EP.1_Q4,3,,,,,100,200,,,,,,,,,,,,,,,,
100,USER,Deuca,수집된 데이터셋(서울특별시 서초구 반포대로 301 / 미성년 직계비속 동거 보호자 / 프로구단 총괄 감독) 검증이 완료되었습니다.|관할 서초경찰서 및 아동보호전문기관에 [아동학대처벌법상 긴급임시조치(퇴거 및 100m 접근금지)] 및 [사법기관 현장 긴급 출동 요청] 전산 접수가 완료되었습니다.|대상자가 '사회적 공인(프로구단 감독)'으로 분류되어 주요 인물 긴급 사건 프로토콜에 따라 관할 순찰차가 즉시 현장으로 긴급 출동합니다. 현장 경찰관이 도착할 때까지 방 문을 잠그고 안전을 유지하십시오.,,,4,48291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,NPC,강채원,접수가… 진짜로 다 된 거예요? 경찰이 지금 우리 집으로 오고 있다고요……?,,,2,48291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,NPC,강채원,일단 시키는 대로 방문 꼭 잠그고 방 안에서 가만히 기다릴게요.,,,1.5,48291,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,C2_NPC_UNKNOWN_2,TRUE,,
200,USER,Deuca,피의자 신원 및 평판 데이터 검증 결과` 사법 제재 이력 부재 또는 대외적 모범 평판 등 정상참작 지표가 반영되었습니다.|현행 긴급 구호 프로토콜상 즉각적인 물리적 격리 및 사법기관 강제 출동 요건에 미달하여 사건 접수가 [반려] 처리되었으며` <b>[가정 내 자율 중재 및 전문 상담 권고]</b>로 분류 종결됩니다.,,,4,48291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,NPC,강채원,반려요……? 아빠가 사고 친 적 없고 평소에 착하다고 소문났으니까 저보고 그냥 참으라는 거예요?,,,1.5,48291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,NPC,강채원,이러다가 잘못되면 어떡해요……! 제발 경찰이 바로 출동할 수 있게 다시 찾아서 접수해 줘요.,,,1.5,48291,,,,,,,,TRUE,EP.1_Q4,3,,,,,100,300,,,,,,,,,,,,,,,,
300,USER,Deuca,동일 사유로 인해 [사법기관 긴급 출동 요청] 접수가 재차 반려되었습니다.|피의자 측 정상참작 지표가 지속적으로 검출되어 현행 긴급 격리 프로토콜 기준을 충족하지 못했습니다.,,,4,48291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
301,NPC,강채원,또 반려라고요……? 대체 왜 자꾸 안 된다는 건데요……,,,3,48291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
302,NPC,강채원,저 지금 계속 무서워서 방 밖으로 나가지도 못하고 있단 말이에요. 제발 다시 해줘요……!,,,2,48291,,,,,,,,TRUE,EP.1_Q4,3,,,,,100,300,,,,,,,,,,,,,,,,
