ID,Speaker,Dialogue,Background,Standing_Left,Standing_Mid,Standing_Right,SFX,BGM,Ambience,Effect,Choice_1,Next_ID_1,Choice_2,Next_ID_2,Choice_3,Next_ID_3,Next_ID,Memo
2001,,,black,,,,,,,,...,2002,,,,,,
2002,,,,,,,,,,,여긴...?,2003,AD...?,2003,,,,대사창 비워두면 대사창 자동으로 꺼짐
2003,???,......,,,,,digital culculation,,,,,,,,,,,
2004,시스템,경고.,,,,,warning,,,,,,,,,,,
2005,시스템,현재 위치한 서버 IP를 받아올 수 없습니다.,,,,,,,,Whiteout_BG,,,,,,,,
2006,,,img_CG_prologue_04,,,,,,,"Whitein_BG, auto_next=1.5",,,,,,,,
2008,,,,,,,,,,,누구...?,,,,,,,
2009,,,black,,,,,,,auto_next=1.5,,,,,,,,auto_next 시간 적으면 클릭하지 않아도 다음 대사 id로 자동으로 넘어감
2010,시스템,경고.,,,,,warning,,,,,,,,,,,
2011,시스템,미확인 대상의 접속 시도가 감지되었습니다.,,,,,,,,,,,,,,,,
2012,시스템,서버 방화벽 보안 레벨을 상향조정합니다.,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,접속을 거부한다.,2014,접속을 거부한다.,2014,,,,
2014,???,......,,,,,digital culculation,,,,,,,,,,,
2015,시스템,경고.,,,,,warning,,,,,,,,,,,
2016,시스템,미인증 권한 대상이 권한을 요구하고 있습니다.,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,권한 요구를 거절한다.,2018,권한을 부여한다.,2022,,,,
2018,???,......,,,,,,,,,,,,,,,,
2019,,경고.,,,,,warning,,,,,,,,,,,
2020,시스템,중대한 보안 취약점이 감지되었습니다.,,,,,,,,,,,,,,,,
2021,시스템,방화벽 보안 레벨을 최대로 상향6raM7ZWc7J2EIOqwgOyguOqwiOqyjA==,,,,,,,,,,,,,,,2022,
2022,연출,,,,,,digital01,,,hide_window_keep,,,,,,,,
2023,시스템,방화벽이 해제되었습니다.,,,,,,,,,,,,,,,,
2024,시스템,권한 인증이 완료되었습니다.,,,,,,,,,,,,,,,,
2025,,,,,,,,,,,접속을 허가한다,2026,접속을 허가한다,2026,접속을 허가한다,2026,,
2026,???,"아,",img_CG_prologue_05,,,,,,,dissolve_BG,,,,,,,,
2027,???,됐다.,img_CG_prologue_06,,,,,,,,,,,,,,,
2028,,,img_background_VN_1,,img_standing_M_C2_normal,,,,,"dissolve_BG, fadein_mid",!!,2029,,,,,,스탠딩을 서서히 등장시키고 싶으면 fadein을 쓰면 됨
2029,???,아...,,,img_standing_M_C2_normal,,,,,,,,,,,,,
2030,???,"너… 아니, 당신은...",,,img_standing_M_C2_normal,,,,,,,,,,,,,
