ID,Speaker,Dialogue,Background,Standing_Left,Standing_Mid,Standing_Right,SFX,BGM,Effect,Choice_1,Next_ID_1,Choice_2,Next_ID_2,Choice_3,Next_ID_3
1001,???,Test,black,,,,,WAV_RomHack1998_loop,,,,,,,
1002,???,FadeIn_All:화면 전체에 적용되는 페이드인으로 검은 화면을 서서히 걷어냄 \n역슬래쉬 + n을 통해 줄바꿈 가능,img_CG_prologue_01,,,,,,FadeIn_All,,,,,,
1003,???,FadeOut_All: 화면 전체에 적용되는 페이드아웃으로 서서히 검은화면으로 바뀜\n암전상태로 넘어갈 때 부드럽게 연결시키기 위함,black,,,,,,,,,,,,
1004,???,FadeIn_BG: 배경 이미지에만 적용되는 페이드인 \n 검은 배경에서 다른 배경으로 넘어갈 때 부드럽게 연결시키기 위함,img_background_prologue_01,,,,,StopBGM,FadeIn_BG,,,,,,
1005,???,FadeIn_mid: 가운데 캐릭터 스탠딩 일러스트가 투명한 상태에서 서서히 나타남\n등장인물을 서서히 등장시킬 때 사용,,,img_standing_M_C1_normal,,shop_category_select_03,,FadeIn_Mid,,,,,,
1006,???,Dissolve_Mid: 가운데 캐릭터 스탠딩 일러스트가 0.25초간 교체\n스탠딩 일러스트의 표정 변화를 자연스럽게 할 때 사용,,,img_standing_M_C1_smile,,,,Dissolve_Mid,,,,,,
1007,???,Dissolve_BG: 기존 배경에서 다음 배경으로 부드럽게 오버랩되며 전환\n배경이나 CG 일러스트의 교체를 부드럽게 연결시킬 때 사용,img_CG_prologue_02,,,,,,Dissolve_BG,,,,,,
1008,???,Dissolve_All: 화면 전체가 0.5초동안 검은색으로 닫혔다가 새 화면으로 0.5초간 열림/nCG일러스트 등 다음 장면으로 전환할 때 사용,img_CG_prologue_03,,,,,,Dissolve_All,,,,,,
1009,???,Transition_BG: 다음 배경 이미지로 잔상 없이 즉시 교체\n갑작스러운 CG일러스트 전환이나 배경 전환에 사용,img_background_prologue_01,,img_standing_M_C1_normal,,,,,,,,,,
1010,???,Transition_Mid: 가운데 캐릭터 스탠딩 일러스트가 즉시 바뀜\n캐릭터의 갑작스러운 표정 전환 등에 사용,,,img_standing_M_C1_smile,,,,,,,,,,
1011,???,whiteout_All: 화면 전체가 1.5간 백색화면으로 전환\n흰색 배경으로 전환할때 부드럽게 연결시켜주기 위해 사용,,,,,,,Whiteout_BG,,,,,,
1012,???,whitein_BG: 백색의 배경화면에서 서서히 배경 이미지로 전환\n백색 배경화면에서 배경 이미지로 부드럽게 연결시키기 위해 사용,white,,,,,,,,,,,,
1013,???,whiteout_BG: 배경 이미지,img_background_prologue_01,,,,,,Whitein_BG,,,,,,
1014,시스템,갈림길이 나타났다. 당신의 선택은?,img_background_prologue_01,,,,,,,왼쪽 길로 간다.,1015,오른쪽 길로 간다.,1016,,
1015,주인공,왼쪽 길은 조용하고 한적한 것 같다.,img_background_prologue_01,,,,,,,,,,,,
1016,주인공,오른쪽 길에서는 이상한 소리가 들려온다.,img_background_prologue_01,,,,,,,,,,,,
