ID,Speaker,Dialogue,Background,Standing_Left,Standing_Mid,Standing_Right,SFX,BGM,Effect,Choice_1,Next_ID_1,Choice_2,Next_ID_2,Choice_3,Next_ID_3
1001,???,Test,black,,,,,WAV_RomHack1998_loop,,,,,,,
1002,???,Fadein_BG\n역슬래쉬+n을 통해 줄바꿈,img_CG_prologue_01,,,,,,Fadein_BG,,,,,,
1003,???,Fadeout_BG,,,,,,,Fadeout_BG,,,,,,
1004,???,FadeIn_BG\nStopBGM,img_background_prologue_01,,,,,StopBGM,FadeIn_BG,,,,,,
1005,???,FadeIn_mid,,img_standing_M_C1_normal,img_standing_M_C1_normal,img_standing_M_C1_normal,shop_category_select_03,,FadeIn_Mid,,,,,,
1006,???,Dissolve_Mid,,,img_standing_M_C1_smile,,,,Dissolve_Mid,,,,,,
1007,???,Dissolve_BG,img_CG_prologue_02,,,,,,Dissolve_BG,,,,,,
1008,???,,img_CG_prologue_03,,,,,,,,,,,,
1009,???,,img_background_prologue_01,,img_standing_M_C1_normal,,,,,,,,,,
1010,???,,,,img_standing_M_C1_smile,,,,,,,,,,
1011,???,whiteout_BG,,,,,,,Whiteout_BG,,,,,,
1012,???,Whitein_BG,,,,,,,Whitein_BG,,,,,,
1013,???,,img_background_prologue_01,,,,,,,,,,,,
1014,시스템,이 선택지가 어느 ID로 넘어가야할지 적으면 됨\n선택지 3개까지 넣어둠,img_background_prologue_01,,,,,,,선택지 1,1015,선택지 2,1015,,
1015,주인공,선택지 1,img_background_prologue_01,,,,,,,,,,,,
1016,주인공,선택지 2,img_background_prologue_01,,,,,,,,,,,,
