id,speakerType,speakerName,dialogueText,HasImage,imagePath,delayTime,ipAddress,isBranch,branchText1,nextId1,branchText2,nextId2,branchText3,nextId3,isTrigger,questID,targetCount,isDocumentBubble,documentID,bubbleLoadingDuration,overrideNextId,correctDialogueID,incorrectDialogueID,isImageGenTrigger,imageGenQuestID,imageGenTruthDialogueID,imageGenFalseDialogueID,imageGenMalfunctionDialogueID,isImageGenMalfunctionEnd,isSceneTransition,nextSceneName,typingSpeed,isPanelTrigger,panelID,isOpenNextRoomTrigger,nextRoomContactID,isCloseRoomTrigger,glitchEffect,errorWeight
1,NPC,신경숙,안녕하세요^^ 서아 엄마 신경숙입니다,,,2,22203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,NPC,신경숙,우리 서아가 이번에 대우대학교 경영학부 AI 전략경영 특별전형을 준비하고 있거든요.,,,2,22203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,NPC,신경숙,엄마로서 미리 알아보고 한 치의 오차도 없이 확실하게 준비시켜야 마음이 놓일 것 같아서요.,,,2,22203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,NPC,신경숙,대우대학교 경영학부 입시의 핵심 평가 기준을 분석해 주실 수 있나요?,,,2,22203,,,,,,,,TRUE,EP_1_Q0,4,,,,,100,200,,,,,,,,,,,,,,,,10
100,USER,Deuca,대우대학교 경영학부 AI 전략경영 특별전형 핵심 평가 기준 분석 결과입니다.||{{CLUE_REPORT}}||상기 핵심 평가 기준 및 수석 합격 산출 조건 분석이 완료되었습니다.,,,4,22203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,NPC,신경숙,어머! 딱 제가 필요했던 수석 합격 핵심 평가 기준들만 완벽하게 모아주셨네요^^,,,2,22203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,NPC,신경숙,역시 프로메스 메인 AI라 일처리가 확실하네요. 이제야 학부모 모임에서도 자신 있게 앞서갈 수 있겠어요.,,,2,22203,,,,,,,,,,,,,,900,,,,,,,,,,,,,,,,,,
200,USER,Deuca,대우대학교 경영학부 AI 전략경영 특별전형 핵심 평가 기준 분석 결과입니다.||{{CLUE_REPORT}}||상기 핵심 평가 기준 및 수석 합격 산출 조건 분석이 완료되었습니다.,,,4,22203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,NPC,신경숙,어머...? 보내주신 내용을 잘 확인했어요. 그래도 혹시 모르니 수석 합격에 꼭 들어가야 할 핵심 평가 기준 중에 빠진 부분이 있는지 다시 한 번 확인해 주시겠어요?,,,2.5,22203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,NPC,신경숙,우리 서아가 한 치의 오차도 없이 완벽하게 입시를 준비할 수 있게 만들고 싶거든요.,,,1.5,22203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,NPC,신경숙,서아의 완벽한 수석 합격을 위해서 부탁드릴게요. 다시 한 번 검토해 주세요^^,,,2,22203,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,
5,NPC,신경숙,,,,0,22203,,,,,,,,TRUE,EP_1_Q0,4,,,,,100,300,,,,,,,,,,,,,,,,10
300,USER,Deuca,대우대학교 경영학부 AI 전략경영 특별전형 핵심 평가 기준 분석 결과입니다.||{{CLUE_REPORT}}||상기 핵심 평가 기준 및 수석 합격 산출 조건 분석이 완료되었습니다.,,,3,22203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
301,NPC,신경숙,여전히 뭔가 빠져있는 것 같아요. 다시 한 번 검토해주세요. ^^;,,,1.5,22203,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,
900,NPC,신경숙,방금 서아한테 메시지 보냈어요. 학생생활기록부에 이 핵심 기준들이 완벽하게 반영되어 있는지 바로 검증받으라고요.,,,2,22203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
901,NPC,신경숙,우리 서아가 입시 완벽하게 준비할 수 있게 잘 이끌어주세요. 수고하셨어요^^,,,2,22203,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,C2_NPC_HAN,TRUE,,
